isin,lei,figi,ticker,mic_code,exchange,permid,company_name,country,sector,industry,employees,year_of_disclosure,reporting_period,metric,hazardousness,treatment_method,value,unit,incomplete_boundaries,source_names,source_urls,company_id,document_id,document_urls
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2022,Total Non-Hazardous Waste Generated,Non-Hazardous,Total Generated,58516,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2022,Non-Hazardous Waste Disposed,Non-Hazardous,Disposed,6100,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2022,Non-Hazardous Waste Recovered,Non-Hazardous,Recovered,52416,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2022,Total Waste Disposed,Total,Disposed,7689,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2022,Total Waste Recovered,Total,Recovered,56731,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2022,Total Hazardous Waste Generated,Hazardous,Total Generated,5904,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2022,Hazardous Waste Disposed,Hazardous,Disposed,1589,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2022,Total Waste Generated,Total,Total Generated,64420,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2022,Hazardous Waste Recovered,Hazardous,Recovered,4315,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2023,Hazardous Waste Recovered,Hazardous,Recovered,4029,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2023,Total Waste Disposed,Total,Disposed,6443,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2023,Total Waste Recovered,Total,Recovered,59426,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2023,Hazardous Waste Disposed,Hazardous,Disposed,1556,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2023,Total Waste Generated,Total,Total Generated,65869,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2023,Non-Hazardous Waste Recovered,Non-Hazardous,Recovered,55397,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2023,Non-Hazardous Waste Disposed,Non-Hazardous,Disposed,4887,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2023,Total Non-Hazardous Waste Generated,Non-Hazardous,Total Generated,60284,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2023,Total Hazardous Waste Generated,Hazardous,Total Generated,5585,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2024,Hazardous Waste Recovered,Hazardous,Recovered,5213,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2024,Hazardous Waste Disposed,Hazardous,Disposed,1799,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2024,Total Waste Disposed,Total,Disposed,6846,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2024,Total Waste Recovered,Total,Recovered,70634,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
Available Upon Request,96950032TUYMW11FB530,BBG000DQ7884,ALO,XPAR,EURONEXT,4295867565,Alstom SA,France,Industrials,Railroads,78684,2024,2024,Total Hazardous Waste Generated,Hazardous,Total Generated,7012,Metric Tonnes,Not Specified,"[""Universal Registration Document (URD) 2024""]","[""https://www.alstom.com/finance/regulated-information?f%5B0%5D=fy%3A1456""]",01133fe5-4172-44d0-8d1b-4af3388d95d7,6e2be3e8-49f0-41b5-955b-e4d9a03835b7,"[""https://www.alstom.com/sites/alstom.com/files/2024/05/15/20240515_Alstom_Universal_Registration_Document_EN.pdf""]"
